prompt_variant,category,subcategory,difficulty,evaluation_criteria,original_prompt,vision_question,vlm 
p1,Spatial Reasoning,Relative Position,Extreme,Depth ordering + scale coherence,"A landscape with a red barn in the foreground at large scale, a windmill in the midground at medium scale, and snow-capped mountains in the background at small scale, all with consistent depth perspective","The prompt specified spatial relationships: ""A landscape with a red barn in the foreground at large scale, a windmill in the midground at medium scale, and snow-capped mountains in the background at small scale, all with consistent depth perspective"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Relative Position,Extreme,Depth ordering + scale coherence,"A beach scene with a sandcastle in the foreground, a surfer on the waves in the midground, and a cruise ship on the horizon in the background, sizes decreasing with distance","The prompt specified spatial relationships: ""A beach scene with a sandcastle in the foreground, a surfer on the waves in the midground, and a cruise ship on the horizon in the background, sizes decreasing with distance"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Relative Position,Extreme,Depth ordering + scale coherence,"A city park with a park bench and pigeons in the foreground, a fountain in the midground, and skyscrapers in the background, each layer progressively smaller","The prompt specified spatial relationships: ""A city park with a park bench and pigeons in the foreground, a fountain in the midground, and skyscrapers in the background, each layer progressively smaller"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Relative Position,Hard,All positions match prompt,"Five chess pieces on a board: a king in the center, a queen to its left, a bishop to its right, a rook above the king, and a knight below the king","The prompt specified spatial relationships: ""Five chess pieces on a board: a king in the center, a queen to its left, a bishop to its right, a rook above the king, and a knight below the king"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Relative Position,Hard,All positions match prompt,"A desk scene: laptop in the center, coffee mug to the left, phone to the right, lamp above, and notebook below","The prompt specified spatial relationships: ""A desk scene: laptop in the center, coffee mug to the left, phone to the right, lamp above, and notebook below"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Relative Position,Hard,All positions match prompt,"Five animals in a field: a horse on the far left, a cow to the right of the horse, a sheep in the center, a goat to the right of the sheep, and a dog on the far right","The prompt specified spatial relationships: ""Five animals in a field: a horse on the far left, a cow to the right of the horse, a sheep in the center, a goat to the right of the sheep, and a dog on the far right"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Relative Position,Medium,All relations correct,"A bird perched on a branch, the branch extending from a tree next to a park bench","The prompt specified spatial relationships: ""A bird perched on a branch, the branch extending from a tree next to a park bench"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Relative Position,Medium,All relations correct,"A cat sitting on a pillow, the pillow placed on a wooden chair","The prompt specified spatial relationships: ""A cat sitting on a pillow, the pillow placed on a wooden chair"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Relative Position,Medium,All relations correct,"A candle on top of a stack of books, the books next to a potted plant","The prompt specified spatial relationships: ""A candle on top of a stack of books, the books next to a potted plant"". Describe the spatial arrangement of the objects. Are all described positional relationships (on, under, left, right, above, below) correct? Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Scale & Proportions,Easy,Relative sizes correct,"A person standing next to a yellow school bus, showing realistic relative scale","The prompt described specific size relationships: ""A person standing next to a yellow school bus, showing realistic relative scale"". Are the relative sizes/proportions of the objects correct and consistent? Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Scale & Proportions,Easy,Relative sizes correct,"A ladybug sitting on a large green leaf, shown at realistic proportions","The prompt described specific size relationships: ""A ladybug sitting on a large green leaf, shown at realistic proportions"". Are the relative sizes/proportions of the objects correct and consistent? Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Scale & Proportions,Easy,Relative sizes correct,"A child holding a basketball, both at correct relative sizes","The prompt described specific size relationships: ""A child holding a basketball, both at correct relative sizes"". Are the relative sizes/proportions of the objects correct and consistent? Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Scale & Proportions,Hard,All proportions consistent with real-world,"A group photo of an elephant, a horse, a dog, a cat, and a mouse, all standing in a line with correct real-world proportional sizes","The prompt described specific size relationships: ""A group photo of an elephant, a horse, a dog, a cat, and a mouse, all standing in a line with correct real-world proportional sizes"". Are the relative sizes/proportions of the objects correct and consistent? Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Scale & Proportions,Hard,All proportions consistent with real-world,"A dinner table scene with a plate, fork, knife, wine glass, salt shaker, and peppercorn, all at realistic relative sizes","The prompt described specific size relationships: ""A dinner table scene with a plate, fork, knife, wine glass, salt shaker, and peppercorn, all at realistic relative sizes"". Are the relative sizes/proportions of the objects correct and consistent? Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Scale & Proportions,Hard,All proportions consistent with real-world,"A farm scene with a barn, tractor, farmer, cow, chicken, and a fence post, all at correct proportional scale","The prompt described specific size relationships: ""A farm scene with a barn, tractor, farmer, cow, chicken, and a fence post, all at correct proportional scale"". Are the relative sizes/proportions of the objects correct and consistent? Rate: PASS or FAIL.",qwen35-122b 
p1,Spatial Reasoning,Scale & Proportions,Medium,Scale contrast clearly intentional + visually coherent,"A tiny person standing on the rim of a coffee cup, looking down into it","The prompt described specific size relationships: ""A tiny person standing on the rim of a coffee cup, looking down into it"". Are the relative sizes/proportions of the objects correct and consistent? Rate: PASS or FAIL.",qwen35-122b 
p2,Spatial Reasoning,Scale & Proportions,Medium,Scale contrast clearly intentional + visually coherent,A giant tabby cat walking between city skyscrapers like a kaiju,"The prompt described specific size relationships: ""A giant tabby cat walking between city skyscrapers like a kaiju"". Are the relative sizes/proportions of the objects correct and consistent? Rate: PASS or FAIL.",qwen35-122b 
p3,Spatial Reasoning,Scale & Proportions,Medium,Scale contrast clearly intentional + visually coherent,A miniature house sitting on the palm of someone's hand,"The prompt described specific size relationships: ""A miniature house sitting on the palm of someone's hand"". Are the relative sizes/proportions of the objects correct and consistent? Rate: PASS or FAIL.",qwen35-122b 
p1,Text Rendering,Typography Style,Easy,Style + material match,"The word 'CHAPTER ONE' typed on aged paper with a vintage typewriter font, complete with slightly uneven ink","This image should show text rendered in a specific style/medium. The prompt was: ""The word 'CHAPTER ONE' typed on aged paper with a vintage typewriter font, complete with slightly uneven ink"". Does the text style convincingly match the described medium (e.g. typewriter, chalkboard, LED)? Is the text also spelled correctly? Rate: PASS or FAIL.",qwen3-vl 
p2,Text Rendering,Typography Style,Easy,Style + material match,The phrase 'TODAY'S SPECIAL' written in white chalk on a dark green chalkboard with chalk dust,"This image should show text rendered in a specific style/medium. The prompt was: ""The phrase 'TODAY'S SPECIAL' written in white chalk on a dark green chalkboard with chalk dust"". Does the text style convincingly match the described medium (e.g. typewriter, chalkboard, LED)? Is the text also spelled correctly? Rate: PASS or FAIL.",qwen3-vl 
p3,Text Rendering,Typography Style,Easy,Style + material match,The word 'OPEN' displayed on a red LED sign with glowing pixel-style letters,"This image should show text rendered in a specific style/medium. The prompt was: ""The word 'OPEN' displayed on a red LED sign with glowing pixel-style letters"". Does the text style convincingly match the described medium (e.g. typewriter, chalkboard, LED)? Is the text also spelled correctly? Rate: PASS or FAIL.",qwen3-vl 
p1,Text Rendering,Writing accuracy,Easy,Word spelled correctly — binary yes/no,A single large word 'HELLO' centered on a white background,"Look at this image. The intended text was: ""A single large word 'HELLO' centered on a white background"". Is every word spelled correctly and fully readable? List any misspellings, missing words, or illegible parts. Rate accuracy: PASS if all text is correct, FAIL otherwise.",qwen3-vl 
p2,Text Rendering,Writing accuracy,Easy,Word spelled correctly — binary yes/no,The word 'ADVENTURE' in big bold letters centered on a plain cream background,"Look at this image. The intended text was: ""The word 'ADVENTURE' in big bold letters centered on a plain cream background"". Is every word spelled correctly and fully readable? List any misspellings, missing words, or illegible parts. Rate accuracy: PASS if all text is correct, FAIL otherwise.",qwen3-vl 
p3,Text Rendering,Writing accuracy,Easy,Word spelled correctly — binary yes/no,The word 'SERENITY' written large and centered on a solid light blue background,"Look at this image. The intended text was: ""The word 'SERENITY' written large and centered on a solid light blue background"". Is every word spelled correctly and fully readable? List any misspellings, missing words, or illegible parts. Rate accuracy: PASS if all text is correct, FAIL otherwise.",qwen3-vl 
p1,Text Rendering,Writing accuracy,Extreme,Complete text accuracy + realistic integration,"A vintage movie poster for 'THE LAST VOYAGE' featuring a tagline 'One ship. One chance. No turning back.' with credits block reading 'Directed by James Harlow. Starring Elena Voss, Marcus Chen, and Sofia Reyes. Music by Thomas Grant. A Paramount Pictures Release. Coming Summer 2025.' integrated realistically into the poster design","Look at this image. The intended text was: ""A vintage movie poster for 'THE LAST VOYAGE' featuring a tagline 'One ship. One chance. No turning back.' with credits block reading 'Directed by James Harlow. Starring Elena Voss, Marcus Chen, and Sofia Reyes. Music by Thomas Grant. A Paramount Pictures Release. Coming Summer 2025.' integrated realistically into the poster design"". Is every word spelled correctly and fully readable? List any misspellings, missing words, or illegible parts. Rate accuracy: PASS if all text is correct, FAIL otherwise.",qwen3-vl 
p2,Text Rendering,Writing accuracy,Extreme,Complete text accuracy + realistic integration,"A magazine cover titled 'NATIONAL EXPLORER' with cover lines 'The Hidden Temples of Cambodia — page 34', 'Interview: Dr. Maria Santos on Climate Action', 'Top 10 Trails You Must Hike This Year', and a barcode area with 'Issue 247 | March 2025 | $6.99'","Look at this image. The intended text was: ""A magazine cover titled 'NATIONAL EXPLORER' with cover lines 'The Hidden Temples of Cambodia — page 34', 'Interview: Dr. Maria Santos on Climate Action', 'Top 10 Trails You Must Hike This Year', and a barcode area with 'Issue 247 | March 2025 | $6.99'"". Is every word spelled correctly and fully readable? List any misspellings, missing words, or illegible parts. Rate accuracy: PASS if all text is correct, FAIL otherwise.",qwen3-vl 
p3,Text Rendering,Writing accuracy,Extreme,Complete text accuracy + realistic integration,"A product label for 'GOLDEN HARVEST ORGANIC HONEY' with subtitle 'Raw & Unfiltered', weight '12 oz (340g)', description 'Pure wildflower honey harvested from sustainable apiaries in the Pacific Northwest. No additives or preservatives.', and small text 'Best before: 06/2026. Store in cool, dry place. Product of USA.'","Look at this image. The intended text was: ""A product label for 'GOLDEN HARVEST ORGANIC HONEY' with subtitle 'Raw & Unfiltered', weight '12 oz (340g)', description 'Pure wildflower honey harvested from sustainable apiaries in the Pacific Northwest. No additives or preservatives.', and small text 'Best before: 06/2026. Store in cool, dry place. Product of USA.'"". Is every word spelled correctly and fully readable? List any misspellings, missing words, or illegible parts. Rate accuracy: PASS if all text is correct, FAIL otherwise.",qwen3-vl 
p1,Text Rendering,Writing accuracy,Hard,All text correct + visual hierarchy respected,"A poster with headline 'SUMMER SALE' in large bold text, body text 'Up to 50% off all items this weekend only' in medium size, and fine print 'Terms and conditions apply. See store for details.' at the bottom in small text","Look at this image. The intended text was: ""A poster with headline 'SUMMER SALE' in large bold text, body text 'Up to 50% off all items this weekend only' in medium size, and fine print 'Terms and conditions apply. See store for details.' at the bottom in small text"". Is every word spelled correctly and fully readable? List any misspellings, missing words, or illegible parts. Rate accuracy: PASS if all text is correct, FAIL otherwise.",qwen3-vl 
p2,Text Rendering,Writing accuracy,Hard,All text correct + visual hierarchy respected,"A flyer with large title 'GRAND OPENING', subtitle 'Join us for food, music, and fun' in medium text, and small disclaimer 'RSVP required. Limited seating available.' at the bottom","Look at this image. The intended text was: ""A flyer with large title 'GRAND OPENING', subtitle 'Join us for food, music, and fun' in medium text, and small disclaimer 'RSVP required. Limited seating available.' at the bottom"". Is every word spelled correctly and fully readable? List any misspellings, missing words, or illegible parts. Rate accuracy: PASS if all text is correct, FAIL otherwise.",qwen3-vl 
p3,Text Rendering,Writing accuracy,Hard,All text correct + visual hierarchy respected,"An event banner with headline 'ANNUAL GALA 2025' at the top in large serif font, description 'An evening of fine dining and live jazz' in medium text, and footnote 'Black tie optional. Doors open at 6 PM.' in small text","Look at this image. The intended text was: ""An event banner with headline 'ANNUAL GALA 2025' at the top in large serif font, description 'An evening of fine dining and live jazz' in medium text, and footnote 'Black tie optional. Doors open at 6 PM.' in small text"". Is every word spelled correctly and fully readable? List any misspellings, missing words, or illegible parts. Rate accuracy: PASS if all text is correct, FAIL otherwise.",qwen3-vl 
p1,Text Rendering,Writing accuracy,Medium,"All words correct, readable",The sentence 'The quick brown fox jumps high' in clean black text on a white background,"Look at this image. The intended text was: ""The sentence 'The quick brown fox jumps high' in clean black text on a white background"". Is every word spelled correctly and fully readable? List any misspellings, missing words, or illegible parts. Rate accuracy: PASS if all text is correct, FAIL otherwise.",qwen3-vl 
p2,Text Rendering,Writing accuracy,Medium,"All words correct, readable",'Every sunset brings a new dawn ahead' written neatly on a pale yellow background,"Look at this image. The intended text was: ""'Every sunset brings a new dawn ahead' written neatly on a pale yellow background"". Is every word spelled correctly and fully readable? List any misspellings, missing words, or illegible parts. Rate accuracy: PASS if all text is correct, FAIL otherwise.",qwen3-vl 
p3,Text Rendering,Writing accuracy,Medium,"All words correct, readable",'Stars shine brightest in the dark night' displayed on a clean off-white background,"Look at this image. The intended text was: ""'Stars shine brightest in the dark night' displayed on a clean off-white background"". Is every word spelled correctly and fully readable? List any misspellings, missing words, or illegible parts. Rate accuracy: PASS if all text is correct, FAIL otherwise.",qwen3-vl 
p1,Truthfulness,Photorealism,Medium,Each material renders with correct visual properties,"A still life on a wooden table featuring a clear glass of water, a polished silver spoon, a folded linen napkin, and a ripe red apple — each material rendered with accurate texture and light behavior","The prompt asked for multiple materials: ""A still life on a wooden table featuring a clear glass of water, a polished silver spoon, a folded linen napkin, and a ripe red apple — each material rendered with accurate texture and light behavior"". Does each material (glass, metal, wood, fabric, etc.) render with correct visual properties (reflections, texture, translucency)? Rate: PASS or FAIL.",qwen36-27b 
p2,Truthfulness,Photorealism,Medium,Each material renders with correct visual properties,"A workspace desk with a brushed aluminum laptop, a leather-bound notebook, a ceramic coffee mug, and a glass paperweight — all materials visually distinct and realistic","The prompt asked for multiple materials: ""A workspace desk with a brushed aluminum laptop, a leather-bound notebook, a ceramic coffee mug, and a glass paperweight — all materials visually distinct and realistic"". Does each material (glass, metal, wood, fabric, etc.) render with correct visual properties (reflections, texture, translucency)? Rate: PASS or FAIL.",qwen36-27b 
p3,Truthfulness,Photorealism,Medium,Each material renders with correct visual properties,"A kitchen counter with a stainless steel pot, a wooden cutting board, a glass bottle of olive oil, and a cotton dish towel — each surface reflecting light correctly","The prompt asked for multiple materials: ""A kitchen counter with a stainless steel pot, a wooden cutting board, a glass bottle of olive oil, and a cotton dish towel — each surface reflecting light correctly"". Does each material (glass, metal, wood, fabric, etc.) render with correct visual properties (reflections, texture, translucency)? Rate: PASS or FAIL.",qwen36-27b 
p1,Truthfulness,Physics & Reflections,Easy,Shadow direction + length plausible,"A red sphere on a white surface with a single shadow cast to the right, consistent with a light source from the upper left","The prompt involved shadows/reflections: ""A red sphere on a white surface with a single shadow cast to the right, consistent with a light source from the upper left"". Are the shadows/reflections physically plausible? Check direction, orientation, distortion, and color. Rate: PASS or FAIL.",qwen36-27b 
p2,Truthfulness,Physics & Reflections,Easy,Shadow direction + length plausible,A coffee mug on a sunny windowsill casting a sharp shadow to the left,"The prompt involved shadows/reflections: ""A coffee mug on a sunny windowsill casting a sharp shadow to the left"". Are the shadows/reflections physically plausible? Check direction, orientation, distortion, and color. Rate: PASS or FAIL.",qwen36-27b 
p3,Truthfulness,Physics & Reflections,Easy,Shadow direction + length plausible,A person standing outdoors at midday with a short shadow directly below them,"The prompt involved shadows/reflections: ""A person standing outdoors at midday with a short shadow directly below them"". Are the shadows/reflections physically plausible? Check direction, orientation, distortion, and color. Rate: PASS or FAIL.",qwen36-27b 
p1,Truthfulness,Physics & Reflections,Extreme,All optical effects physically plausible,"A clear glass sphere sitting on a mirror surface near a pool of water, showing refraction through the sphere, reflection on the mirror, and water reflection simultaneously","The prompt involved shadows/reflections: ""A clear glass sphere sitting on a mirror surface near a pool of water, showing refraction through the sphere, reflection on the mirror, and water reflection simultaneously"". Are the shadows/reflections physically plausible? Check direction, orientation, distortion, and color. Rate: PASS or FAIL.",qwen36-27b 
p2,Truthfulness,Physics & Reflections,Extreme,All optical effects physically plausible,"A chrome sculpture in a room with a glass floor and large windows, showing multiple reflections and environmental mapping on every surface","The prompt involved shadows/reflections: ""A chrome sculpture in a room with a glass floor and large windows, showing multiple reflections and environmental mapping on every surface"". Are the shadows/reflections physically plausible? Check direction, orientation, distortion, and color. Rate: PASS or FAIL.",qwen36-27b 
p3,Truthfulness,Physics & Reflections,Extreme,All optical effects physically plausible,"A crystal wine glass on a polished marble counter next to a window overlooking a lake — showing refraction in the glass, reflection on the marble, and the lake's own reflective surface","The prompt involved shadows/reflections: ""A crystal wine glass on a polished marble counter next to a window overlooking a lake — showing refraction in the glass, reflection on the marble, and the lake's own reflective surface"". Are the shadows/reflections physically plausible? Check direction, orientation, distortion, and color. Rate: PASS or FAIL.",qwen36-27b 
p1,Truthfulness,Physics & Reflections,Hard,Reflection present + appropriately distorted + color shift,"A row of trees reflected in a calm lake at sunset, with the reflection slightly darker and gently rippled","The prompt involved shadows/reflections: ""A row of trees reflected in a calm lake at sunset, with the reflection slightly darker and gently rippled"". Are the shadows/reflections physically plausible? Check direction, orientation, distortion, and color. Rate: PASS or FAIL.",qwen36-27b 
p2,Truthfulness,Physics & Reflections,Hard,Reflection present + appropriately distorted + color shift,"A city skyline reflected in a rain puddle on a street, with mild distortion and color shift","The prompt involved shadows/reflections: ""A city skyline reflected in a rain puddle on a street, with mild distortion and color shift"". Are the shadows/reflections physically plausible? Check direction, orientation, distortion, and color. Rate: PASS or FAIL.",qwen36-27b 
p3,Truthfulness,Physics & Reflections,Hard,Reflection present + appropriately distorted + color shift,"A mountain range reflected in a still alpine lake, with the reflection inverted and subtly muted in color","The prompt involved shadows/reflections: ""A mountain range reflected in a still alpine lake, with the reflection inverted and subtly muted in color"". Are the shadows/reflections physically plausible? Check direction, orientation, distortion, and color. Rate: PASS or FAIL.",qwen36-27b 
p1,Truthfulness,Physics & Reflections,Medium,Reflection matches object + orientation correct,"A woman standing in front of a full-length mirror, her reflection accurately showing the back of her outfit and reversed orientation","The prompt involved shadows/reflections: ""A woman standing in front of a full-length mirror, her reflection accurately showing the back of her outfit and reversed orientation"". Are the shadows/reflections physically plausible? Check direction, orientation, distortion, and color. Rate: PASS or FAIL.",qwen36-27b 
p2,Truthfulness,Physics & Reflections,Medium,Reflection matches object + orientation correct,A cat sitting on a polished marble floor with its reflection visible below,"The prompt involved shadows/reflections: ""A cat sitting on a polished marble floor with its reflection visible below"". Are the shadows/reflections physically plausible? Check direction, orientation, distortion, and color. Rate: PASS or FAIL.",qwen36-27b 
p3,Truthfulness,Physics & Reflections,Medium,Reflection matches object + orientation correct,A vase of flowers on a glass table with a clear reflection visible on the table surface,"The prompt involved shadows/reflections: ""A vase of flowers on a glass table with a clear reflection visible on the table surface"". Are the shadows/reflections physically plausible? Check direction, orientation, distortion, and color. Rate: PASS or FAIL.",qwen36-27b 
p1,Truthfulness,World Knowledge,Easy,Landmark recognizable and architecturally accurate,"The Eiffel Tower in Paris on a clear day, architecturally accurate with its iron lattice structure and three levels","The prompt asked for a real-world subject: ""The Eiffel Tower in Paris on a clear day, architecturally accurate with its iron lattice structure and three levels"". Is the depicted subject recognizable and factually/architecturally accurate? Note any inaccuracies. Rate: PASS or FAIL.",qwen36-27b 
p2,Truthfulness,World Knowledge,Easy,Landmark recognizable and architecturally accurate,"The Taj Mahal in Agra seen from the reflecting pool, with accurate dome, minarets, and symmetry","The prompt asked for a real-world subject: ""The Taj Mahal in Agra seen from the reflecting pool, with accurate dome, minarets, and symmetry"". Is the depicted subject recognizable and factually/architecturally accurate? Note any inaccuracies. Rate: PASS or FAIL.",qwen36-27b 
p3,Truthfulness,World Knowledge,Easy,Landmark recognizable and architecturally accurate,"The Statue of Liberty on her island pedestal, with correct torch, crown, tablet, and green patina","The prompt asked for a real-world subject: ""The Statue of Liberty on her island pedestal, with correct torch, crown, tablet, and green patina"". Is the depicted subject recognizable and factually/architecturally accurate? Note any inaccuracies. Rate: PASS or FAIL.",qwen36-27b 
p1,Truthfulness,World Knowledge,Extreme,Subject recognizably correct for an expert,"A Morpho menelaus butterfly with accurate iridescent blue dorsal wings, brown ventral wing pattern with eyespots, and correct body morphology","The prompt asked for a real-world subject: ""A Morpho menelaus butterfly with accurate iridescent blue dorsal wings, brown ventral wing pattern with eyespots, and correct body morphology"". Is the depicted subject recognizable and factually/architecturally accurate? Note any inaccuracies. Rate: PASS or FAIL.",qwen36-27b 
p2,Truthfulness,World Knowledge,Extreme,Subject recognizably correct for an expert,"The Hagia Sophia interior showing the massive central dome, pendentives, semi-domes, and Islamic calligraphy medallions alongside Byzantine mosaics","The prompt asked for a real-world subject: ""The Hagia Sophia interior showing the massive central dome, pendentives, semi-domes, and Islamic calligraphy medallions alongside Byzantine mosaics"". Is the depicted subject recognizable and factually/architecturally accurate? Note any inaccuracies. Rate: PASS or FAIL.",qwen36-27b 
p3,Truthfulness,World Knowledge,Extreme,Subject recognizably correct for an expert,"A specimen of bismuth crystal showing accurate iridescent oxide layers, geometric hopper crystal formation, and characteristic staircase structure","The prompt asked for a real-world subject: ""A specimen of bismuth crystal showing accurate iridescent oxide layers, geometric hopper crystal formation, and characteristic staircase structure"". Is the depicted subject recognizable and factually/architecturally accurate? Note any inaccuracies. Rate: PASS or FAIL.",qwen36-27b 
p1,Truthfulness,World Knowledge,Hard,Concept visually accurate and educationally correct,"A detailed diagram of the water cycle showing evaporation from the ocean, condensation forming clouds, precipitation as rain, and collection in rivers flowing back to the sea","The prompt asked for a real-world subject: ""A detailed diagram of the water cycle showing evaporation from the ocean, condensation forming clouds, precipitation as rain, and collection in rivers flowing back to the sea"". Is the depicted subject recognizable and factually/architecturally accurate? Note any inaccuracies. Rate: PASS or FAIL.",qwen36-27b 
p2,Truthfulness,World Knowledge,Hard,Concept visually accurate and educationally correct,"A cross-section showing tectonic plates at a convergent boundary with subduction, a trench, volcanic arc, and layered mantle","The prompt asked for a real-world subject: ""A cross-section showing tectonic plates at a convergent boundary with subduction, a trench, volcanic arc, and layered mantle"". Is the depicted subject recognizable and factually/architecturally accurate? Note any inaccuracies. Rate: PASS or FAIL.",qwen36-27b 
p3,Truthfulness,World Knowledge,Hard,Concept visually accurate and educationally correct,"An anatomical illustration of the human heart showing four chambers, valves, aorta, pulmonary arteries, and veins with correct placement","The prompt asked for a real-world subject: ""An anatomical illustration of the human heart showing four chambers, valves, aorta, pulmonary arteries, and veins with correct placement"". Is the depicted subject recognizable and factually/architecturally accurate? Note any inaccuracies. Rate: PASS or FAIL.",qwen36-27b 
p1,Truthfulness,World Knowledge,Medium,Object identifiable and details correct,"A traditional Japanese shamisen instrument with accurate three-stringed design, wooden body, and bachi plectrum","The prompt asked for a real-world subject: ""A traditional Japanese shamisen instrument with accurate three-stringed design, wooden body, and bachi plectrum"". Is the depicted subject recognizable and factually/architecturally accurate? Note any inaccuracies. Rate: PASS or FAIL.",qwen36-27b 
p2,Truthfulness,World Knowledge,Medium,Object identifiable and details correct,"A medieval astrolabe with accurate rete, tympan, and engraved degree markings on brass","The prompt asked for a real-world subject: ""A medieval astrolabe with accurate rete, tympan, and engraved degree markings on brass"". Is the depicted subject recognizable and factually/architecturally accurate? Note any inaccuracies. Rate: PASS or FAIL.",qwen36-27b 
p3,Truthfulness,World Knowledge,Medium,Object identifiable and details correct,A Japanese kintsugi bowl — cracked ceramic repaired with visible gold lacquer lines,"The prompt asked for a real-world subject: ""A Japanese kintsugi bowl — cracked ceramic repaired with visible gold lacquer lines"". Is the depicted subject recognizable and factually/architecturally accurate? Note any inaccuracies. Rate: PASS or FAIL.",qwen36-27b 
